Lobe,Structure,Broadmann area,ROI pair
 Limbic Lobe - Occipital Lobe , Uncus - Precuneus , Brodmann area 36 - Brodmann area 31 , 62 - 51
,,,
 Limbic Lobe - Temporal Lobe , Uncus - Inferior Frontal Gyrus , Brodmann area 36 - Brodmann area 13 , 62 - 23
,,,
 Limbic Lobe - Frontal Lobe , Anterior Cingulate - Precentral Gyrus , Brodmann area 33 - Brodmann area 4 , 56 - 8
,,,
 Occipital Lobe - Occipital Lobe , Precuneus - Fusiform Gyrus , Brodmann area 31 - Brodmann area 19 , 52 - 30
,,,
 Limbic Lobe - Frontal Lobe , Posterior Cingulate - Inferior Frontal Gyrus , Brodmann area 29 - Brodmann area 13 , 48 - 24
,,,
 Temporal Lobe - Occipital Lobe , Fusiform Gyrus - Cuneus , Brodmann area 37 - Brodmann area 7 , 63 - 13
,,,
 Limbic Lobe - Occipital Lobe , Uncus - Fusiform Gyrus , Brodmann area 36 - Brodmann area 19 , 61 - 30
,,,
 Limbic Lobe - Limbic Lobe , Cingulate Gyrus - Uncus , Brodmann area 32 - Brodmann area 20 , 86 - 32
,,,
 Temporal Lobe - Limbic Lobe , Fusiform Gyrus - Parahippocampal Gyrus , Brodmann area 37 - Brodmann area 30 , 64 - 50
,,,
 Frontal Lobe - Frontal Lobe , Medial Frontal Gyrus - Precentral Gyrus , Brodmann area 8 - Brodmann area 6 , 16 - 11
,,,
 Limbic Lobe - Frontal Lobe , Parahippocampal Gyrus - Precentral Gyrus , Brodmann area 30 - Brodmann area 4 , 49 - 8
,,,
 Frontal Lobe - Frontal Lobe , Precentral Gyrus - Paracentral Lobule , Brodmann area 6 - Brodmann area 5 , 12 - 9
,,,
 Frontal Lobe - Frontal Lobe , Medial Frontal Gyrus - Precentral Gyrus , Brodmann area 8 - Brodmann area 6 , 16 - 11
,,,
 Temporal Lobe - Limbic Lobe , Superior Temporal Gyrus - Parahippocampal Gyrus , Brodmann area 41 - Brodmann area 30 , 72 - 50
,,,
 Frontal Lobe - Limbic Lobe , Inferior Frontal Gyrus - Uncus , Brodmann area 45 - Brodmann area 34 , 80 - 58
,,,
 Limbic Lobe - Parietal Lobe , Posterior Cingulate - Postcentral Gyrus , Brodmann area 29 - Brodmann area 1 , 48 - 2
,,,
 Temporal Lobe - Parietal Lobe , Fusiform Gyrus - Postcentral Gyrus , Brodmann area 37 - Brodmann area 1 , 63 - 2
